Subj,Treatment,Drug,Time.Bottom,Time.Top,AbsoluteTurnAngle,Freezing,Speed
A1,CTRL,0,282.205941,37.880752,15.6800518909091,1,6.19050605660378
A2,CTRL,0,208.246011,132.386291,20.3838250926431,2,6.68507468010753
A3,CTRL,0,94.419539,221.256051,20.013154880597,3,4.50941141690141
A4,CTRL,0,98.014895,216.508841,17.7688876557377,0,5.79499738453757
A5,CTRL,0,142.765559,168.454539,18.8373700726496,1,6.11252308355795
A6,CTRL,0,185.968927,98.342132,19.9600624629156,0,7.23993179028133
A7,CTRL,0,259.653948,51.915631,18.1996271390374,1,6.0887407353316
A8,CTRL,0,206.223222,107.52566,20.9034077410256,2,7.24614445524296
B3,ARS,0,142.223139,159.12217,20.2445874923664,45,5.59800143007916
B4,ARS,0,360,0,22.3321319766234,44,7.35978589664082
B5,ARS,0,355.942105,4.05789,27.9918487467363,48,8.40342519321149
B6,ARS,0,311.714761,13.75954,21.2784719450549,42,8.31763350549451
B7,ARS,0,271.560013,27.92225,30.6198988339623,13,6.87382117735849
B8,ARS,0,258.52427,32.171905,21.1495850721925,18,6.37443643048128
C4,CTRL,2,305.530919,32.195321,18.116852591623,0,6.79554129319372
C5,CTRL,2,196.361814,105.120199,20.0854812364672,110,4.95276700854701
C6,CTRL,2,241.329865,156.429615,21.9452231295181,0,10.506016503012
C7,CTRL,2,293.780898,42.032765,23.8736955340599,8,5.71819465405406
C8,CTRL,2,269.944795,58.425581,17.1272473837209,9,5.83749518010753
D1,ARS,2,283.16248,53.416046,23.8305701693989,0,6.09330449612403
D2,ARS,2,188.872184,84.061844,23.2550242018633,0,5.58976014360314
D3,ARS,2,254.85743,61.700795,20.6020747233202,1,7.79050318346253
D4,ARS,2,120.012644,192.12856,29.2896155880682,0,9.54689338219895
D5,ARS,2,192.780572,75.803202,22.9473781203209,0,5.77810935695538
D6,ARS,2,238.859563,77.1848,25.2710031642229,0,5.98626031621621
D7,ARS,2,215.222223,95.599999,24.5515374161491,2,8.38544964136126
D8,ARS,2,232.913333,26.917407,23.9819597571429,5,5.69779961741425
