Subj,Treatment,Dose,Time.Top,Time.Bottom,Freezing.S,AbsoluteTurnAngle,Speed
A1,CTRL,0 mg/kg,20.641,127.540,0,26.2598693156972,3.56537
A2,CTRL,0 mg/kg,0.233,246.937,0,25.2840679316043,3.97765
A3,CTRL,0 mg/kg,118.538,251.851,0,27.085586578274,7.05486
A4,CTRL,0 mg/kg,10.526,187.035,0,28.0726206847444,6.76512
A5,CTRL,0 mg/kg,0.638,74.617,0,13.1270206072874,7.66943
A6,CTRL,0 mg/kg,53.836,244.668,12,34.71538866068,5.2173
A7,CTRL,0 mg/kg,1.226,293.020,0,33.2075288432736,5.04684
A8,CTRL,0 mg/kg,49.745,63.811,31,45.3988157095163,4.88689
A9,CTRL,0 mg/kg,80.533,186.692,0,12.2641622760493,5.3918
A10,CTRL,0 mg/kg,0.653,205.648,17,24.3480436310139,6.31634
B1,CTRL,1 mg/kg,0.267,266.53,0,34.71538866068,5.07017
B2,CTRL,1 mg/kg,41.581,212.283,70,33.2075288432736,2.61707
B3,CTRL,1 mg/kg,1.462,152.299,0,25.3988157095163,2.25012
B4,CTRL,1 mg/kg,0.772,84.402,0,22.2641622760493,3.29363
B5,CTRL,1 mg/kg,8.236,207.66,293,24.3480436310139,5.92789
B6,CTRL,1 mg/kg,0.442,246.329,0,25.118280326407,9.42821827272727
B7,CTRL,1 mg/kg,12.848,246.89,0,16.299737879068,3.20164313975155
B8,CTRL,1 mg/kg,0.697,244.956,0,24.8271866590441,3.46760469230769
B9,CTRL,1 mg/kg,0.362,30.419,0,31.9916229930229,1.50835155952381
B10,CTRL,1 mg/kg,79.944,271.683,18,36.8884082104411,7.44952895184136
B11,CTRL,1 mg/kg,14.661,196.3451,38,27.5059175188516,4.42142266161517
B12,CTRL,1 mg/kg,25.775,278.162,91,5.92364682636965,2.50755659373051
B13,CTRL,1 mg/kg,1.724,222.589,127,21.798,7.07145100628013
B14,CTRL,1 mg/kg,0.508,187.986,21,24.458,3.52830862923755
B15,CTRL,1 mg/kg,44.424,89.930,28,32.358,5.93389898558606
B16,CTRL,1 mg/kg,33.360,221.498,0,14.668,7.31925112210051
B17,CTRL,1 mg/kg,34.255,236.492,0,23.920,3.70023944263619
B18,CTRL,1 mg/kg,27.617,183.718,0,23.268,6.97037516658713
B19,CTRL,1 mg/kg,67.574,139.925,0,12.452,5.12365963122873
B20,CTRL,1 mg/kg,34.173,232.804,0,29.708,10.9704180823675
B21,CTRL,1 mg/kg,6.040, 86.472,0,28.290,5.77223582775926
C1,CAS,0 mg/kg,76.652,83.943,230,22.2598693156972,7.64735
C2,CAS,0 mg/kg,18.926,151.544,122,24.2840679316043,5.42492
C3,CAS,0 mg/kg,104.906,53.544,0,22.085586578274,6.638
C4,CAS,0 mg/kg,30.547,81.592,336,25.0726206847444,4.27883
C5,CAS,0 mg/kg,57.559,147.045,112,39.1270206072874,7.61287
C6,CAS,0 mg/kg,0.538,129.614,356,33.71538866068,5.88486
C7,CAS,0 mg/kg,1.395,281.128,28,33.2075288432736,7.84496
C8,CAS,0 mg/kg,32.874,45.678,93,41.3988157095163,5.18339
C9,CAS,0 mg/kg,0.613,157.458,200,40.2641622760493,5.02843
C10,CAS,0 mg/kg,0.336,54.293,0,24.3480436310139,6.49338
C11,CAS,0 mg/kg,14.0525458202155,256.411711401413,97,42.6446618351692,4.35737543505919
C12,CAS,0 mg/kg,2.67133768473879,299.487989245411,55,38.517474465963,5.51309055764315
C13,CAS,0 mg/kg,3.51563624265296,226.087179191756,71,42.9668057552371,4.22656989940867
C14,CAS,0 mg/kg,14.2552825896371,298.598358637634,219,30.8544145988029,4.04813131201952
C15,CAS,0 mg/kg,20.9308148561806,304.12124383232,26,30.618884575871,3.3273023620901
C16,CAS,0 mg/kg,13.2881845985709,253.173466214712,27,37.0452030250215,10.0015759868786
C17,CAS,0 mg/kg,14.8099353593706,311.997595109389,29,39.0367664696947,10.6342401800214
C18,CAS,0 mg/kg,7.07392753921446,316.379552663922,23,43.6325223839237,8.9064665620936
C19,CAS,0 mg/kg,0.707488690934079,184.405840642101,88,33.8823522452263,6.92985893391375
C20,CAS,0 mg/kg,17.6118146933765,333.283738168643,0,39.0214078001734,8.10572042335308
C21,CAS,0 mg/kg,20.9560942468147,184.200638793793,97,48.8662458038634,4.79436603245733
D1,CAS,1 mg/kg,1.06,49.273,0,17.2040819318193,6.43874
D2,CAS,1 mg/kg,124.196,188.675,0,24.9333527962959,5.68963
D3,CAS,1 mg/kg,0.398,43.390,0,35.5962795963858,6.19584
D4,CAS,1 mg/kg,1.274,97.260,0,28.0361996314601,5.11341
D5,CAS,1 mg/kg,323.507,138.453,0,35.9076729975645,4.80213
D6,CAS,1 mg/kg,0.52,81.240,43,25.9060318500235,4.73598
D7,CAS,1 mg/kg,242.555,41.135,0,25.0400247703252,5.6939
