Subject,Treatment,Dose,Time_On_Top,Time_On_Bottom,AbsoluteTurnAngle,Speed
A1-1,SA,VEH,"0,855263","165,58772","17,5489351721854","4,89373138650307"
A1-2,SA,VEH,"1,951923","138,192349","15,3103668943089","1,79578811678832"
A1-3,SA,VEH,"3,307692","353,410285","13,31058624","3,38009713597734"
A1-3,SA,VEH,0,"221,430404","14,3841818","8,0328053"
A1-5 ,SA,VEH,3,"265,523809","11,2155886862745","4,3751688902439"
A1-6 ,SA,VEH,"17,020834","111,602758","9,42521461607143","2,36853779508197"
A1-7,SA,VEH,"3,522861","186,7603","30,02192","4,598082"
A1-8,SA,VEH,"0,341367","188,6732","34,36395","3,368728"
A1-9,SA,VEH,"1,820188","233,8745","33,25469","4,704587"
A1-10,SA,VEH,"5,188668","163,7453","35,6867","1,247904"
A2-1,SA,CLZ,"2,115132","134,591014","15,1672717882353","4,0035325"
A2-2,SA,CLZ,"0,705882","139,983115","13,9990950904762","4,2956678852459"
A2-3 ,SA,CLZ,"7,563218","126,421618","17,6129459553571","2,76044358139535"
A2-4,SA,CLZ,"20,267744","149,360865","14,8599031388889","4,12337857142857"
A2-5,SA,CLZ,"18,579555","108,913754","19,0081706965318","4,793878125"
A2-6,SA,CLZ,"9,38027","187,78482","17,28602","3,267745"
A2-7,SA,CLZ,"9,797531","68,42796","17,72956","4,807588"
A2-8,SA,CLZ,"9,763893","83,20639","15,69845","4,294043"
A2-9,SA,CLZ,"8,962321","169,38199","13,10199","4,431625"
B1-1,CTRL,VEH,"1,688889","13,655556","12,90029","6,1971257"
B1-2,CTRL,VEH,"1,555556","113,061904","27,7899337798165","2,37409642063492"
B1-3,CTRL,VEH,"9,242659","67,960374","19,1134650398671","4,08167084969325"
B1-4,CTRL,VEH,"33,996819","152,617405","17,3621926630435","2,89885697902098"
B1-5 ,CTRL,VEH,"4,711905","100,583333","9,765607577","2,86236645744681"
B1-6,CTRL,VEH,"13,109711","119,15757","21,21284","6,4572995"
B1-7,CTRL,VEH,"8,035772","91,42292","20,76793","3,8770968"
B1-8,CTRL,VEH,"9,995361","135,72057","17,32444","0,6185783"
B1-9,CTRL,VEH,"12,632997","107,18984","10,98258","4,1906791"
B2-1 ,CTRL,CLZ,"3,666667","61,9","17,5367325141956","3,56536901680672"
B2-2,CTRL,CLZ,"14,539744","51,27787","15,551800127551","2,58007161860465"
B2-3,CTRL,CLZ,"0,8125","54,430452","8,48788334615385","3,84023041818182"
B2-4 ,CTRL,CLZ,"3,9","107,954701","14,6313749107143","3,93064005102041"
B2-5 ,CTRL,CLZ,"9,049411","30,12179","19,835199844898","6,17848950716332"
B2-6,CTRL,CLZ,"6,227692","215,049451","10,3601696545455","3,69262169587629"
B2-7,CTRL,CLZ,"3,44264","100,79428","16,94315","2,335303"
B2-8,CTRL,CLZ,"20,052205","166,35631","16,32763","5,342164"
B2-9,CTRL,CLZ,"4,675246","113,68107","10,48751","6,390256"
B2-10,CTRL,CLZ,"65,765441","81,41583","7,30273","2,60199"
