Subj,Treatment,Dose,Time.Top,Time.Bottom,Erratic.Swimming.N,Freezing.N,Freezing.S,Thrashing,Squares.Crossed
A1,CAS,0 mg/kg,0.549,359.081,5,1,343.803,0,9
A2,CAS,0 mg/kg,38.787,242.846,10,3,125.773,9,279
A3,CAS,0 mg/kg,168.672,299.379,13,0,0,14,449
A4,CAS,0 mg/kg,1.433,329.973,1,1,163.979,6,89
A5,CAS,0 mg/kg,22.673,282.595,10,0,0,18,321
A6,CAS,0 mg/kg,0.329,359.42,0,3,92.744,0,31
A7,CAS,0 mg/kg,0.322,354.852,0,2,41.831,2,234
A8,CAS,0 mg/kg,6.518,329.243,24,2,43.832,6,333
A9,CAS,0 mg/kg,0.29,357.298,20,3,141.774,1,199
A10,CAS,0 mg/kg,56.058,235.324,8,1,33.309,29,291
A11,CAS,0 mg/kg,5.8121,354.1879,4,1,43.558,3,52
A12,CAS,0 mg/kg,4.4826,355.5174,8,0,0,19,171
A13,CAS,0 mg/kg,0.1894,359.8106,4,3,36.3649,0,422
A14,CAS,0 mg/kg,8.2722,351.7278,10,2,78.501,7,181
A15,CAS,0 mg/kg,12.9511,347.0489,2,5,143.494,12,101
A16,CAS,0 mg/kg,6.7718,205.889,8,3,51.494,21,74
B1,CAS,2 mg/kg,0.18,359.675,1,1,353.416,0,5
B2,CAS,2 mg/kg,72.919,111.787,0,0,0,1,282
B3,CAS,2 mg/kg,0.414,159.267,1,1,3.403,0,26
B4,CAS,2 mg/kg,32.49,198.007,0,0,0,4,370
B5,CAS,2 mg/kg,139.262,108.321,0,0,0,0,254
B6,CAS,2 mg/kg,0.247,159.523,1,1,348.984,0,21
B7,CAS,2 mg/kg,72.673,165.274,2,0,0,23,241
B8,CAS,2 mg/kg,88.026,271.974,0,0,0,1,29
B9,CAS,2 mg/kg,315.4541,44.5459,7,0,0,3,347
B10,CAS,2 mg/kg,136.7115,211.4085,1,3,,10,204
B11,CAS,2 mg/kg,0,360,0,0,0,6,216
B12,CAS,2 mg/kg,0,360,0,1,,4,53
B13,CAS,2 mg/kg,64.687,288.5412,4,0,0,7,327
C1,CAS,1 mg/kg,33.112,237.339,6,1,6.456,26,263
C2,CAS,1 mg/kg,29.505,279.73,3,0,0,5,214
C3,CAS,1 mg/kg,61.486,225.242,0,0,0,17,216
C4,CAS,1 mg/kg,0.322,359.473,32,4,125.942,0,91
C5,CAS,1 mg/kg,0.179,350.291,2,2,182.9,10,107
C6,CAS,1 mg/kg,27.351,263.461,0,1,185.386,4,155
C7,CAS,1 mg/kg,8.852,319.972,1,3,114.434,12,111
C8,CAS,1 mg/kg,106.539,158.305,0,0,0,18,262
C9,CAS,1 mg/kg,42.4235,275.1809,6,1,76.0689,8,327
C10,CAS,1 mg/kg,34.2124,287.7987,2,0,0,0,355
C11,CAS,1 mg/kg,55.5301,280.8588,11,1,75.4309,17,205
C12,CAS,1 mg/kg,12.2312,274.6351,0,2,18.5959,28,189
C13,CAS,1 mg/kg,29.2098,279.8132,1,3,79.1074,28,303
C14,CAS,1 mg/kg,40.4322,306.1147,6,1,17.5889,13,131
D1,CTRL,0 mg/kg,0.27,159.041,3,0,0,5,195
D2,CTRL,0 mg/kg,135.743,147.261,2,0,0,28,338
D3,CTRL,0 mg/kg,0.872,255.484,0,1,18.452,2,91
D4,CTRL,0 mg/kg,0.746,256.409,1,0,0,5,107
D5,CTRL,0 mg/kg,55.963,183.722,0,0,0,34,353
D6,CTRL,0 mg/kg,46.354,205.658,0,0,0,27,349
D7,CTRL,0 mg/kg,47.566,215.307,2,0,0,11,311
D8,CTRL,0 mg/kg,0.271,350.465,4,2,36.007,0,99
D9,CTRL,0 mg/kg,67.337,187.482,0,0,0,5,240
D10,CTRL,0 mg/kg,32.077,263.629,0,0,0,23,287
D11,CTRL,0 mg/kg,32.683,226.8738,2,0,0,16,124
D12,CTRL,0 mg/kg,33.5878,215.2639,1,0,0,14,227
D13,CTRL,0 mg/kg,34.45811,217.2931,3,4,32.547,1,434
D14,CTRL,0 mg/kg,37.3681,227.1907,0,3,29.95,12,296
D15,CTRL,0 mg/kg,42.5286,226.1967,0,0,0,0,125
D16,CTRL,0 mg/kg,39.2596,208.7303,2,0,0,17,271
E1,CTRL,2 mg/kg,0.319,359.431,2,0,0,0,177
E2,CTRL,2 mg/kg,57.335,210.468,0,0,0,27,244
E3,CTRL,2 mg/kg,139.832,100.554,2,0,0,17,243
E4,CTRL,2 mg/kg,54.61,229.946,0,0,0,7,214
E5,CTRL,2 mg/kg,115.101,115.079,0,0,0,12,232
E6,CTRL,2 mg/kg,68.771,186.651,0,0,0,16,283
E7,CTRL,2 mg/kg,29.098,259.736,11,0,0,4,453
E8,CTRL,2 mg/kg,0.256,158.624,11,2,193.176,3,71
E9,CTRL,2 mg/kg,1.078,258.682,0,0,0,0,7
E10,CTRL,2 mg/kg,12.192,94.164,0,0,0,0,165
E11,CTRL,2 mg/kg,51.6193,113.4105,0,1,23.3618,0,91
E12,CTRL,2 mg/kg,35.9708,132.7812,4,0,0,6,220
E13,CTRL,2 mg/kg,22.737,126.0481,0,2,21.0199,8,433
E14,CTRL,2 mg/kg,45.3204,252.7016,2,1,17.3102,7,196
E15,CTRL,2 mg/kg,52.2911,162.7686,0,0,0,4,69
E16,CTRL,2 mg/kg,52.0587,245.7456,2,0,0,15,262
F1,CTRL,1 mg/kg,98.7067,214.6676,1,0,0,31,210
F2,CTRL,1 mg/kg,45.3568,201.1961,0,2,6.7072,45,9
F3,CTRL,1 mg/kg,75.2464,248.3142,1,3,8.4732,6,372
F4,CTRL,1 mg/kg,37.7312,142.023,5,0,0,0,322
F5,CTRL,1 mg/kg,64.4502,206.9753,1,0,0,18,248
F6,CTRL,1 mg/kg,81.5798,278.4202,1,2,14.4228,27,437
F7,CTRL,1 mg/kg,3.913,321.535,0,0,0,1,156
F8,CTRL,1 mg/kg,81.294,180.345,0,0,0,18,219
F9,CTRL,1 mg/kg,0.175,328.315,0,2,148.417,11,137
F10,CTRL,1 mg/kg,95.994,166.562,0,0,0,37,368
F11,CTRL,1 mg/kg,77.398,126.176,0,0,0,19,257
F12,CTRL,1 mg/kg,0.336,354.032,2,0,0,1,105
F13,CTRL,1 mg/kg,131.293,128.123,0,0,0,15,223
F14,CTRL,1 mg/kg,24.024,237.303,0,0,0,0,159
F15,CTRL,1 mg/kg,313.596,15.387,0,0,0,0,95
