Animal,Treatment,Dose,Time_On_Top,Time_On_Bottom,Freezing,AbsoluteTurnAngle,Speed
X1.1,CTRL,0,5.1013,284.5051,0,33.6315882762072,14.1895240096412
X1.2,CTRL,0,29.7633,266.9125,0,34.9624340948405,10.3936163624268
X1.3,CTRL,0,0.1852,121.1165,213,50.1482877754443,14.6335705424801
X1.4,CTRL,0,54.5073,156.6767,0,28.391388099335,12.6866156264348
X1.5,CTRL,0,0.1827,205.0573,0,29.0735078171724,4.43461432889036
X1.6,CTRL,0,62.5943,149.6892,0,27.1213515297393,9.79807256594933
X1.7,CTRL,0,30.2901,279.2464,8,7.38405166697975,3.54551392737939
X1.8,CTRL,0,49.5431,278.3358,8,13.5035647610366,14.2420878678317
X1.9,CTRL,0,22.6557,258.4371,2,27.7719404223199,6.92483446243846
X1.10,CTRL,0,6.5869,253.084,6,43.0108746003954,2.23611122201087
X1.11,CTRL,0,47.4292,274.6731,9,54.1767845048839,9.27877986648937
X1.12,CTRL,0,45.8529,274.7393,10,53.8513325030214,9.02788608202981
X1.13,CTRL,0,48.8727,223.9629,7,7.54027783110392,13.5308266711848
X1.14,CTRL,0,25.6683,250.0713,0,7.60110036640813,1.96082113800929
X1.15,CTRL,0,7.6380,187.6278,0,40.5743878630266,15.354631739398
X2.1,CAS,0,5.7642,195.8386,0,57.1002303070063,14.7838020265386
X2.2,CAS,0,2.9708,182.0653,0,12.3425833825649,15.7052228678497
X2.3,CAS,0,0.4152,331.4093,212,16.3492675004519,6.28549586927657
X2.4,CAS,0,14.9004,102.2334,3,19.3528776964752,5.15573676551555
X2.5,CAS,0,0.3174,217.9651,0,58.5754007040921,13.2135779316213
X2.6,CAS,0,8.2791,210.1498,1,44.2716974899961,11.6602059673484
X2.7,CAS,0,9.4076,257.7561,148,57.8103980882631,5.19644567798897
X2.8,CAS,0,23.7774,277.0060,215,36.1534896949277,6.42559067824213
X2.9,CAS,0,23.6279,255.9313,194,13.1767964823225,1.57072044583811
X2.10,CAS,0,21.1506,268.2197,72,17.0968559687318,10.2869928559592
X2.11,CAS,0,5.2511,312.7346,107,58.2000717145851,5.4514934132937
X2.12,CAS,0,4.8023,234.3349,244,27.9107085451733,1.05315214705852
X2.13,CAS,0,30.9266,319.9139,23,40.6533853987534,14.7641893208987
X2.14,CAS,0,4.0229,297.5291,208,25.2253064881021,14.3478014882742
X2.15,CAS,0,0.3571,240.2192,13,25.6269377697776,1.30070010128858
Y1.1,CTRL,150 (2 inj.),0.42636,179.4123,0,53.7703348690418,15.0045206628023
Y1.2,CTRL,150 (2 inj.),42.5961,201.3164,0,50.3671687758459,15.8028248215349
Y1.3,CTRL,150 (2 inj.),0.0044,228.4935,4,42.0505405834742,3.02058955578274
Y1.4,CTRL,150 (2 inj.),14.9423,126.365,8,31.8439804820309,5.3756232858881
Y1.5,CTRL,150 (2 inj.),7.6872,180.2053,0,8.47236752593342,7.1225825837867
Y1.6,CTRL,150 (2 inj.),9.4076,211.0615,8,37.9394519286018,13.0596087541825
Y1.7,CTRL,150 (2 inj.),23.777,177.2122,0,40.2823285527752,1.00602829604541
Y1.8,CTRL,150 (2 inj.),23.627,166.9174,1,25.0472053298979,2.12286544503235
Y1.9,CTRL,150 (2 inj.),21.1506,135.0129,3,28.0044584455154,4.7861214765364
Y1.10,CTRL,150 (2 inj.),5.25118,112.2087,2,9.53118308072258,4.82716671961928
Y1.11,CTRL,150 (2 inj.),4.8023,169.9139,0,11.0887762811261,11.6636364705582
Y1.12,CTRL,150 (2 inj.),30.9266,211.6189,0,27.656685287133,5.35499937436019
Y1.13,CTRL,150 (2 inj.),4.0229,177.1579,0,56.5040093816717,1.9788246012156
Y1.14,CTRL,150 (2 inj.),0.3571,114.9204,8,19.750277560497,15.9853638446026
Y1.15,CTRL,150 (2 inj.),22.0269,150.0344,3,20.1206745121268,6.68530081930122
Y2.1,CAS,150 (2 inj.),7.6541,233.6467,0,52.7111327004328,1.17213267753126
Y2.2,CAS,150 (2 inj.),0.7662,249.7846,31,39.2656116343753,6.46034717507092
Y2.3,CAS,150 (2 inj.),9.1445,207.0570,0,30.8664855773825,8.24140708534637
Y2.4,CAS,150 (2 inj.),8.9724,201.3247,0,40.334852575101,15.9194885315159
Y2.5,CAS,150 (2 inj.),85.6228,82.8224,0,56.0653258718604,13.2912864055792
Y2.6,CAS,150 (2 inj.),9.40768,188.9738,18,42.2503134339426,9.46232314265406
Y2.7,CAS,150 (2 inj.),23.7774,242.8474,22,18.0444026190794,10.059233905741
Y2.8,CAS,150 (2 inj.),23.6279,105.2912,14,10.4512491183669,10.6256911179312
Y2.9,CAS,150 (2 inj.),21.1506,193.7251,8,53.528696619203,14.1332763045208
Y2.10,CAS,150 (2 inj.),5.25118,208.1114,49,45.5604420001808,4.49106087480133
Y2.11,CAS,150 (2 inj.),4.80237,241.8411,12,36.3431393437472,12.9962117738909
Y2.12,CAS,150 (2 inj.),30.9266,231.18411,3,48.9888919487758,14.6179769976259
Y2.13,CAS,150 (2 inj.),4.02297,143.6267,0,28.537988030801,7.89467457987677
Y2.14,CAS,150 (2 inj.),0.35716,122.4682,26,3.50002556096713,4.14867742957535
Y2.15,CAS,150 (2 inj.),22.0269,119.3468,42,41.724335923606,3.25264095205102
