Subject,Treatment,Dose,Time_On_Top,Time_On_Bottom,AbsoluteTurnAngle,Freezing,Speed
X1.1,CTRL,0,52.2448,308.2240,21.6118,28,4.4963330148695
X1.2,CTRL,0,35.9613,325.5739,19.9540,72,13.829616357765
X1.3,CTRL,0,38.1563,322.1450,24.1249,0,8.7920989191383
X1.4,CTRL,0,0.2885,349.6067,23.1760,5,4.22940486839329
X1.5,CTRL,0,18.4807,132.9864,25.9225,12,7.64209829868258
X1.6,CTRL,0,312.7584,31.4017,10.4501,0,7.29516647490944
X1.7,CTRL,0,65.9266,265.7228,15.9223,11,7.70363647427709
X1.8,CTRL,0,68.1946,278.6612,15.4693,10,7.40616968453247
X1.9,CTRL,0,89.0651,127.3909,13.827,12,11.7564968758236
X1.10,CTRL,0,77.3487,233.756,18.1784,10,8.37050919357816
X1.11,CTRL,0,27.7602,340.16698,14.0508,21,10.0120294926043
X1.12,CTRL,0,36.4145,328.9518,12.7723,18,3.49944493268805
X1.13,CTRL,0,45.8804,247.383,13.0728,27,5.73066952442681
X1.14,CTRL,0,46.46787,344.7887,22.7859,19,7.80480307387052
X1.15,CTRL,0,39.2175,302.5693,16.8841,5,10.0267961989199
X2.1,CAS,0,2.4748,339.8155,35.9944,28,11.4570690073011
X2.2,CAS,0,75.338,157.9044,16.1151,18,5.9535140336989
X2.3,CAS,0,0.5118,359.3015,42.9552,37,8.82136420766285
X2.4,CAS,0,27.3427,300.7946,40.9836,87,4.56715253390048
X2.5,CAS,0,0.7919,351.8835,41.9973,91,12.7109513691494
X2.6,CAS,0,40.190,140.7876,15.7616,27,8.23195846941958
X2.7,CAS,0,35.7588,321.8139,43.065,22,8.94943730517058
X2.8,CAS,0,26.4517,355.9319,44.4929,15,5.44492985352988
X2.9,CAS,0,24.7257,289.0173,24.746,19,12.830818562451
X2.10,CAS,0,15.2981,306.7715,13.1957,18,8.12350524155912
X2.11,CAS,0,1.0877,350.7377,21.8752,51,9.37118556382628
X2.12,CAS,0,14.9893,345.0001,42.1759,53,6.90753320996983
X2.13,CAS,0,8.4624,332.0141,37.1839,40,5.92258475705126
X2.14,CAS,0,10.3164,314.0105,22.1196,97,7.00097737919099
X2.15,CAS,0,15.6644,319.7602,21.2778,54,8.31201746383943
Y1.1,CTRL,150 (2 inj.),1.5326,354.2309,26.5603,19,3.81144245438541
Y1.2,CTRL,150 (2 inj.),334.5377,10.8337,23.2072,0,7.99085083121979
Y1.3,CTRL,150 (2 inj.),1.7929,345.0553,20.5063,8,12.4532659480359
Y1.4,CTRL,150 (2 inj.),0.2878,360.0570,28.8781,6,13.2799927222735
Y1.5,CTRL,150 (2 inj.),13.1064,215.4361,29.8114,20,12.2248014609033
Y1.6,CTRL,150 (2 inj.),85.6226,264.2561,17.5333,0,3.34437019610387
Y1.7,CTRL,150 (2 inj.),66.2432,268.9888,14.1227,0,5.75900975276465
Y1.8,CTRL,150 (2 inj.),72.8433,196.9077,19.3492,9,13.3173909558296
Y1.9,CTRL,150 (2 inj.),74.8694,217.2596,10.38842,7,13.47473512453
Y1.10,CTRL,150 (2 inj.),71.3386,294.1205,15.0510,1,6.44366673740066
Y1.11,CTRL,150 (2 inj.),58.4813,296.565,13.1934,27,9.79662156370467
Y1.12,CTRL,150 (2 inj.),42.6414,310.7801,21.7280,18,6.27402778921209
Y1.13,CTRL,150 (2 inj.),74.1224,212.4599,13.0916,0,3.03790808569003
Y1.14,CTRL,150 (2 inj.),84.1153,279.848,15.3068,25,7.25669001535852
Y1.15,CTRL,150 (2 inj.),43.2586,262.3598,12.5195,2,5.95413655097382
Y2.1,CAS,150 (2 inj.),0.3452,359.0009,39.0619,41,6.83518763938463
Y2.2,CAS,150 (2 inj.),3.7129,324.1825,41.9757,37,10.1440264656859
Y2.3,CAS,150 (2 inj.),4.5487,325.3335,15.0553,66,11.0338875018951
Y2.4,CAS,150 (2 inj.),0.9269,351.7098,43.9367,71,4.50986536154039
Y2.5,CAS,150 (2 inj.),28.034,21.2868,42.4189,0,12.5036981724545
Y2.6,CAS,150 (2 inj.),1.7121,347.1604,24.2109,73,4.57105106220466
Y2.7,CAS,150 (2 inj.),9.4267,350.5733,48.5270,27,13.1441871579233
Y2.8,CAS,150 (2 inj.),4.5997,339.3808,38.1269,85,4.94225654867984
Y2.9,CAS,150 (2 inj.),8.2072,206.5672,14.7675,91,3.79562944452865
Y2.10,CAS,150 (2 inj.),5.5784,354.4216,39.2343,17,5.84070206811328
Y2.11,CAS,150 (2 inj.),18.4528,341.5471,51.6791,90,1.67992714546055
Y2.12,CAS,150 (2 inj.),47.7406,312.2593,36.5927,77,2.07921418716489
Y2.13,CAS,150 (2 inj.),16.9082,343.0917,23.1580,57,1.79536546726788
Y2.14,CAS,150 (2 inj.),3.95407,356.0459,16.1242,87,3.21982650202615
Y2.15,CAS,150 (2 inj.),13.7081,346.2918,37.7263,31,3.06950080901392
