"Treatment","Dose","TimeTop","TimeBottom","AbsoluteTurnAngle","Freezing","Speed"
"CTRL","0 mg/kg",93.61670901,262.49,20.8744,25.0956,6.968246962845263
"CTRL","0 mg/kg",0.0,360.0,17.0174,40.5143,0.9984503143471715
"CTRL","0 mg/kg",23.84944638,119.67,19.4828,6.63189,3.6448571636253737
"CTRL","0 mg/kg",0.0,360.0,26.479,0.0,15.583934972626418
"CTRL","0 mg/kg",82.18460634,216.36,23.139,31.6778,3.7343240964901465
"CTRL","0 mg/kg",49.26395315,203.16,31.2247,0.0,6.663268261835837
"CTRL","0 mg/kg",37.6932089,156.87,23.2181,7.83537,11.544588983099265
"CTRL","0 mg/kg",14.45737267,209.15,25.0787,26.4335,0.7231373054013455
"CTRL","0 mg/kg",129.6003804,210.01,28.5317,15.5285,5.201881012002172
"CTRL","0 mg/kg",64.4918528,199.27,20.1212,5.89031,8.3523132168182
"CAS","0 mg/kg",57.74622672,278.19,60.6952,129.267,4.045929071875241
"CAS","0 mg/kg",0.0,360.0,36.4529,98.8217,8.438317398583303
"CAS","0 mg/kg",35.39142218,278.9,39.6806,128.245,7.270052572216486
"CAS","0 mg/kg",144.7296233,215.63,37.9124,132.618,8.347752276762561
"CAS","0 mg/kg",96.13070548,270.62,29.4443,222.342,10.12318252204696
"CAS","0 mg/kg",58.54518096,301.455,32.3194,180.474,13.943274618049799
"CAS","0 mg/kg",31.23465275,251.52,28.9851,0.0,2.0835048423194014
"CAS","0 mg/kg",65.9307529,248.46,51.5539,0.0,12.294382502637127
"CAS","0 mg/kg",8.440228646,349.09,32.5628,117.703,10.828847882042048
"CAS","0 mg/kg",10.25588963,262.5,51.4409,136.187,6.453516551855114
"CAS","0 mg/kg",0.0,360.0,34.0614,92.047,13.736734724281334
"CAS","0 mg/kg",66.78398998,275.73,38.1506,174.748,10.30313472473817
"CAS","0 mg/kg",0.0,360.0,25.0541,0.0,5.646420662306316
"CAS","0 mg/kg",0.0,360.0,30.3782,32.867,5.4864911059463815
"CAS","0 mg/kg",92.60677826,276.28,50.7198,12.7011,2.2007891180248107
"CAS","0 mg/kg",92.62827547,268.29,46.3907,154.741,5.326922612523045
"CAS","0 mg/kg",36.987557,313.3,48.7895,161.544,10.782052045475146
"CAS","0 mg/kg",80.5741732,208.99,47.1456,217.838,4.536022661744077
"CAS","0 mg/kg",46.7815194,252.3,41.4225,103.26,11.642332246685935
