Subj,Treatment,Dose,Time.Top,Time.Bottom,Freezing.S,AbsoluteTurnAngle,Speed
1,CTRL,VEH,20.641,127.540,0,26.2598693156972,3.56537
2,CTRL,VEH,0.233,246.937,0,25.2840679316043,3.97765
3,CTRL,VEH,118.538,251.851,0,27.085586578274,7.05486
4,CTRL,VEH,10.526,187.035,0,28.0726206847444,6.76512
5,CTRL,VEH,0.638,74.617,0,13.1270206072874,7.66943
6,CTRL,VEH,53.836,244.668,12,34.71538866068,5.2173
7,CTRL,VEH,1.226,293.020,0,33.2075288432736,5.04684
8,CTRL,VEH,49.745,63.811,31,45.3988157095163,4.88689
9,CTRL,VEH,80.533,186.692,0,12.2641622760493,5.3918
10,CTRL,VEH,0.653,205.648,17,24.3480436310139,6.31634
11,CTRL,WAY,0.267,266.530,0,34.71538866068,5.07017
12,CTRL,WAY,41.581,212.283,70,33.2075288432736,2.61707
13,CTRL,WAY,1.462,152.299,0,25.3988157095163,2.25012
14,CTRL,WAY,0.772,84.402,0,22.2641622760493,3.29363
15,CTRL,WAY,8.236,207.660,293,24.3480436310139,5.92789
16,CTRL,WAY,0.442,246.329,0,25.118280326407,9.42821827272727
17,CTRL,WAY,12.848,246.890,0,16.299737879068,3.20164313975155
18,CTRL,WAY,0.697,244.956,0,24.8271866590441,3.46760469230769
19,CTRL,WAY,0.362,30.419,0,31.9916229930229,1.50835155952381
20,CTRL,WAY,79.944,271.683,18,36.8884082104411,7.44952895184136
21,CAS,VEH,76.652,83.943,230,22.2598693156972,7.64735
22,CAS,VEH,18.926,151.544,122,24.2840679316043,5.42492
23,CAS,VEH,104.906,53.544,0,22.085586578274,6.638
24,CAS,VEH,30.547,81.592,336,25.0726206847444,4.27883
25,CAS,VEH,57.559,147.045,112,39.1270206072874,7.61287
26,CAS,VEH,0.538,129.614,356,33.71538866068,5.88486
27,CAS,VEH,1.395,281.128,28,33.2075288432736,7.84496
28,CAS,VEH,32.874,45.678,93,41.3988157095163,5.18339
29,CAS,VEH,0.613,157.458,200,40.2641622760493,5.02843
30,CAS,VEH,0.336,54.293,0,24.3480436310139,6.49338
31,CAS,WAY,1.06,49.273,0,17.2040819318193,6.43874
32,CAS,WAY,124.196,188.675,0,24.9333527962959,5.68963
33,CAS,WAY,0.398,43.390,310,35.5962795963858,6.19584
34,CAS,WAY,1.274,97.260,0,28.0361996314601,5.11341
35,CAS,WAY,323.507,138.453,0,35.9076729975645,4.80213
36,CAS,WAY,0.52,81.240,343,25.9060318500235,4.73598
37,CAS,WAY,242.555,41.135,0,25.0400247703252,5.6939
38,CAS,WAY,3.054,47.400,0,22.085586578274,5.09116
39,CAS,WAY,0.675,264.365,329,12.0287794415648,6.85888
