,Treatment,Drug,Time.Top,Time.Bottom,Freezing.S,AbsoluteTurnAngle,Speed
1,CTRL,VEH,10.425,288.566,18,12.90029,6.1971257
2,CTRL,VEH,20.293,271.3375,19,27.7899337798165,2.37409642063492
3,CTRL,VEH,6.261,205.4562,0,19.1134650398671,4.08167084969325
4,CTRL,VEH,16.081,314.245,0,17.3621926630435,2.89885697902098
5,CTRL,VEH,26.179,248.5745,0,9.765607577,2.86236645744681
6,CTRL,VEH,3.34,226.8559,0,21.21284,6.4572995
7,CTRL,VEH,10.481,264.1527,0,20.76793,3.8770968
8,CTRL,VEH,85.745,221.0099,38,17.32444,0.6185783
9,CTRL,VEH,45.123,270.9901,12.557,10.98258,4.1906791
10,CTRL,VEH,23.1,294.1661,2,7.97959641666667,7.52643340449438
11,CTRL,WAY,0.52,214.7458,22,17.5367325141956,3.56536901680672
12,CTRL,WAY,0.271,227.4543,0,15.551800127551,2.58007161860465
13,CTRL,WAY,0.596,195.0623,0,8.48788334615385,3.84023041818182
14,CTRL,WAY,0.766,320.0402,0,14.6313749107143,3.93064005102041
15,CTRL,WAY,2.893,291.633,12,19.835199844898,6.17848950716332
16,CTRL,WAY,0.323,255.88,38,10.3601696545455,3.69262169587629
17,CTRL,WAY,0.347,292.5941,37,16.94315,2.335303
18,CTRL,WAY,0.469,202.496,0,16.32763,5.342164
19,CTRL,WAY,0.544,236.6439,31,10.48751,6.390256
20,CTRL,WAY,67.301,300.7152,10,7.30273,2.60199
21,CAS,VEH,4.222,302.8243,45,27.5489351721854,4.89373138650307
22,CAS,VEH,13.525,340.3982,70,25.3103668943089,1.79578811678832
23,CAS,VEH,15.531,350.1497,0,33.31058624,3.38009713597734
24,CAS,VEH,0.307,331.232,181,34.3841818,8.0328053
25,CAS,VEH,26.444,301.9155,135,31.2155886862745,4.3751688902439
26,CAS,VEH,0.253,309.706,0,39.4252146160714,2.36853779508197
27,CAS,VEH,0.461,323.7393,83,30.02192,4.598082
28,CAS,VEH,0.997,354.9077,349,34.36395,3.368728
29,CAS,VEH,0.566,349.3439,135,33.25469,4.704587
30,CAS,VEH,0.967,355.4647,156,35.6867,1.247904
31,CAS,WAY,1.362,322.081,127,17.6129459553571,2.76044358139535
32,CAS,WAY,5.606,225.3098,0,14.8599031388889,4.12337857142857
33,CAS,WAY,0.286,205.5678,353,19.0081706965318,4.793878125
34,CAS,WAY,6.84,313.7525,0,17.28602,3.267745
35,CAS,WAY,244.848,297.7027,0,17.72956,4.807588
36,CAS,WAY,0.982,207.9702,328,15.69845,4.294043
37,CAS,WAY,32.515,286.9283,154,13.10199,4.431625
38,CAS,WAY,0.307,197.2187,214,18.0664692352941,8.07285910526316
39,CAS,WAY,0.343,215.8272,324,10.6502462857143,8.99407816666667
