Group,Subj,Minute,Time_in_Zone,AbsoluteTurnAngle,Speed
CTRL,C1,1,"2,43","8,4618","11,06"
CTRL,C1,2,3,"19,9319","10,1463"
CTRL,C1,3,22,"10,3998","7,533"
CTRL,C1,4,"29,24","10,9511","9,3884"
CTRL,C1,5,"24,97","25,7398","4,8644"
CTRL,C1,6,0,"18,6735","3,5625"
CTRL,C1,7,"4,07","16,239","1,2543"
CTRL,C1,8,"24,13","18,7787","11,0083"
CTRL,C1,9,"22,63","9,3251","2,0324"
CTRL,C1,10,"6,37","8,2666","5,7088"
CTRL,C1,11,"22,4","16,926","6,3585"
CTRL,C1,12,"33,83","13,8494","10,0016"
CTRL,C1,13,"12,07","11,1918","5,4368"
CTRL,C1,14,"5,78","13,1968","11,748"
CTRL,C1,15,"25,08","18,4567","6,7763"
CTRL,C1,16,"27,04","17,4197","5,5661"
CTRL,C1,17,"6,53","24,8875","4,8301"
CTRL,C1,18,"12,27","16,2754","1,3805"
CTRL,C1,19,"24,28","12,9462","3,1351"
CTRL,C1,20,"11,87","16,7691","3,8738"
CTRL,C1,21,"13,44","11,9108","6,7558"
CTRL,C1,22,"15,98","24,176","2,1373"
CTRL,C2,1,3,"17,7749","7,9647"
CTRL,C2,2,1,"25,1049","8,956"
CTRL,C2,3,"4,4","24,1051","8,2647"
CTRL,C2,4,"52,1","8,9716","10,5893"
CTRL,C2,5,"3,4","21,5406","10,5295"
CTRL,C2,6,"34,6","14,3773","9,7017"
CTRL,C2,7,"4,12","21,0582","4,7287"
CTRL,C2,8,"13,56","23,7275","7,3936"
CTRL,C2,9,"4,2","18,209","6,0559"
CTRL,C2,10,"26,3","23,7015","5,6275"
CTRL,C2,11,"24,4","20,7191","6,5278"
CTRL,C2,12,"30,43","21,9682","5,7734"
CTRL,C2,13,"15,14","12,4061","4,9233"
CTRL,C2,14,"3,8","14,5658","10,3072"
CTRL,C2,15,"24,83","18,5029","9,5574"
CTRL,C2,16,"5,42","15,4303","11,1662"
CTRL,C2,17,"3,89","16,6201","7,0697"
CTRL,C2,18,"1,58","8,0763","2,4006"
CTRL,C2,19,"24,92","20,4847","8,4833"
CTRL,C2,20,"8,19","24,8244","4,6398"
CTRL,C2,21,"14,44","10,6805","7,3888"
CTRL,C2,22,"13,28","13,4796","4,9867"
CTRL,C3,1,1,"9,758","8,9205"
CTRL,C3,2,"21,8591","20,7786","2,4502"
CTRL,C3,3,"19,333","14,2125","2,9672"
CTRL,C3,4,"33,2174","19,0016","10,9764"
CTRL,C3,5,"25,3096","13,5775","1,1578"
CTRL,C3,6,"41,9641","20,3262","6,8841"
CTRL,C3,7,"5,7128","15,917","9,158"
CTRL,C3,8,"32,0415","10,062","6,314"
CTRL,C3,9,"23,0231","20,8073","4,3589"
CTRL,C3,10,"46,2731","9,5787","7,0539"
CTRL,C3,11,"11,0404","25,5963","2,8581"
CTRL,C3,12,"35,9034","8,5398","11,4332"
CTRL,C3,13,"20,4001","14,6481","7,1264"
CTRL,C3,14,"29,5974","12,6719","3,3002"
CTRL,C3,15,"19,8023","22,1123","4,1109"
CTRL,C3,16,"28,9978","20,4868","11,7238"
CTRL,C3,17,"9,3923","17,247","6,0644"
CTRL,C3,18,"6,5979","15,3697","1,3"
CTRL,C3,19,"29,7248","11,1738","5,8334"
CTRL,C3,20,"14,5356","14,7186","9,8191"
CTRL,C3,21,"18,6721","22,1395","5,3826"
CTRL,C3,22,"18,1902","22,2035","8,3398"
CTRL,C4,1,1,"12,7347","6,0901"
CTRL,C4,2,"20,1901","8,332","9,2641"
CTRL,C4,3,"14,5606","15,9544","10,1834"
CTRL,C4,4,"55,1794","21,8449","4,1126"
CTRL,C4,5,"14,4479","21,2535","3,7471"
CTRL,C4,6,"33,462","9,9234","9,9569"
CTRL,C4,7,"1,902","8,2097","7,8528"
CTRL,C4,8,60,"13,711","1,2323"
CTRL,C4,9,"4,8093","14,9276","9,0812"
CTRL,C4,10,"58,7008","12,3018","5,6731"
CTRL,C4,11,"14,551","13,5946","11,0349"
CTRL,C4,12,"34,3776","19,7915","10,5559"
CTRL,C4,13,"23,5253","13,0369","2,7611"
CTRL,C4,14,"26,8784","20,2411","1,1926"
CTRL,C4,15,"24,5488","11,2466","2,6257"
CTRL,C4,16,"10,4543","17,3888","6,4196"
CTRL,C4,17,"2,4317","13,4344","1,4534"
CTRL,C4,18,"11,3346","21,0752","6,9591"
CTRL,C4,19,"11,2073","15,3673","11,7377"
CTRL,C4,20,"15,5428","9,4613","5,5303"
CTRL,C4,21,"24,3117","12,892","7,6969"
CTRL,C4,22,"16,5701","10,2259","1,8094"
CTRL,C5,1,"8,68","12,3631","10,9202"
CTRL,C5,2,"29,4361","16,5569","10,8672"
CTRL,C5,3,"13,3501","21,769","11,2314"
CTRL,C5,4,"53,695","21,5484","9,908"
CTRL,C5,5,"2,5069","19,471","10,4373"
CTRL,C5,6,"34,9233","20,9689","4,7266"
CTRL,C5,7,"18,8501","25,373","2,9356"
CTRL,C5,8,"53,6133","12,7336","2,5571"
CTRL,C5,9,"8,8982","17,784","4,4222"
CTRL,C5,10,"40,9064","8,7397","5,3798"
CTRL,C5,11,"4,7994","24,3659","1,4202"
CTRL,C5,12,"41,526","15,2042","2,6717"
CTRL,C5,13,"5,743","11,386","5,1528"
CTRL,C5,14,"28,3498","23,4823","10,552"
CTRL,C5,15,"15,2707","20,8522","2,3168"
CTRL,C5,16,"29,6346","17,5197","4,8644"
CTRL,C5,17,"14,5061","15,9416","7,2884"
CTRL,C5,18,"29,5695","20,2603","4,8277"
CTRL,C5,19,"7,6743","23,3691","7,3699"
CTRL,C5,20,"6,54","11,9871","1,8185"
CTRL,C5,21,"8,1902","18,457","7,7996"
CTRL,C5,22,"8,2709","19,8572","10,8206"
CTRL,C6,1,"21,5882","14,8582","9,8329"
CTRL,C6,2,"8,9791","23,3109","5,3759"
CTRL,C6,3,"9,1993","15,6351","7,4185"
CTRL,C6,4,"26,1872","21,2249","8,2991"
CTRL,C6,5,"4,6971","15,8383","7,7145"
CTRL,C6,6,60,"11,8383","7,7861"
CTRL,C6,7,"3,1163","9,4556","5,7525"
CTRL,C6,8,"47,1647","17,9502","4,1481"
CTRL,C6,9,"13,4555","21,8476","5,0692"
CTRL,C6,10,"42,6712","17,1156","9,6219"
CTRL,C6,11,"6,9432","23,8242","4,0235"
CTRL,C6,12,"42,0853","22,2704","6,5943"
CTRL,C6,13,"13,3383","12,2292","11,0311"
CTRL,C6,14,"26,7077","24,5934","7,6633"
CTRL,C6,15,"6,2709","8,2066","8,9389"
CTRL,C6,16,"1,8755","23,9225","6,0708"
CTRL,C6,17,"7,4911","11,5023","1,3306"
CTRL,C6,18,"5,5493","15,3652","4,1023"
CTRL,C6,19,"7,9942","23,0587","3,8486"
CTRL,C6,20,"0,391","13,4249","9,3564"
CTRL,C6,21,"5,1052","14,185","11,6477"
CTRL,C6,22,"5,7986","12,7973","10,43"
CTRL,C7,1,"16,6111","24,7798","1,6167"
CTRL,C7,2,"14,5974","23,8679","4,4726"
CTRL,C7,3,"18,5049","15,4054","9,9998"
CTRL,C7,4,"43,2285","19,9237","8,7947"
CTRL,C7,5,"11,9417","20,5393","7,2562"
CTRL,C7,6,"43,5418","15,1605","5,1881"
CTRL,C7,7,"3,2334","25,2475","8,2282"
CTRL,C7,8,"51,0807","23,9261","4,1714"
CTRL,C7,9,"14,5269","16,8869","11,7825"
CTRL,C7,10,"35,2639","14,399","8,5578"
CTRL,C7,11,"3,4439","19,748","3,5334"
CTRL,C7,12,"30,8155","11,1095","6,8885"
CTRL,C7,13,"5,2148","9,4918","5,4052"
CTRL,C7,14,"26,205","17,307","8,2196"
CTRL,C7,15,"9,4245","17,3525","5,9723"
CTRL,C7,16,"16,7668","15,0211","1,06"
CTRL,C7,17,"14,28","14,6365","7,1294"
CTRL,C7,18,"13,3455","16,2925","1,4957"
CTRL,C7,19,"2,3275","19,6209","10,6171"
CTRL,C7,20,"17,6237","10,047","8,1084"
CTRL,C7,21,"3,8597","25,9464","9,1271"
CTRL,C7,22,"3,6786","14,3561","4,2361"
CTRL,C8,1,"12,4215","16,2565","6,2044"
CTRL,C8,2,"21,5546","23,1544","5,5417"
CTRL,C8,3,"23,8415","13,1739","3,3803"
CTRL,C8,4,"55,0323","18,9684","1,1012"
CTRL,C8,5,"9,0926","17,31","8,0609"
CTRL,C8,6,"41,514","21,3391","1,1274"
CTRL,C8,7,"10,0684","13,4357","1,4005"
CTRL,C8,8,"58,7678","17,517","11,2842"
CTRL,C8,9,"12,4494","9,5683","11,3381"
CTRL,C8,10,"36,9568","8,0183","8,0236"
CTRL,C8,11,"2,8115","10,946","10,2096"
CTRL,C8,12,"48,4518","22,8687","9,7138"
CTRL,C8,13,"10,9901","24,5275","5,0277"
CTRL,C8,14,"20,5251","12,8997","10,871"
CTRL,C8,15,"6,8502","10,4844","11,7021"
CTRL,C8,16,"7,3342","18,8937","9,9168"
CTRL,C8,17,"14,905","22,5516","7,4946"
CTRL,C8,18,"30,957","20,4304","9,0618"
CTRL,C8,19,"14,9685","9,7432","10,5448"
CTRL,C8,20,"12,5399","24,6492","3,806"
CTRL,C8,21,"10,1206","15,6132","5,2247"
CTRL,C8,22,"5,1476","22,8173","2,2053"
CTRL,C9,1,"20,2323","13,1688","2,7363"
CTRL,C9,2,"19,3972","8,7203","1,7067"
CTRL,C9,3,"6,0672","9,6518","3,3816"
CTRL,C9,4,"30,6228","22,2305","4,2791"
CTRL,C9,5,"13,726","15,6996","2,3947"
CTRL,C9,6,"40,8867","19,2156","3,3154"
CTRL,C9,7,"2,9955","20,6318","4,2273"
CTRL,C9,8,"54,9183","8,5355","4,0165"
CTRL,C9,9,"8,4824","16,9753","9,4741"
CTRL,C9,10,"46,8954","23,8732","6,7679"
CTRL,C9,11,"5,8222","15,2227","9,6395"
CTRL,C9,12,"27,5207","12,9191","5,4325"
CTRL,C9,13,"2,7479","16,2826","1,9497"
CTRL,C9,14,"26,5037","22,01","5,2772"
CTRL,C9,15,"1,7116","24,2151","10,0527"
CTRL,C9,16,"19,6164","12,023","4,3761"
CTRL,C9,17,"10,1849","23,648","6,1264"
CTRL,C9,18,"7,5759","24,8152","4,7284"
CTRL,C9,19,"6,2246","12,0348","7,9071"
CTRL,C9,20,"2,779","13,7441","7,931"
CTRL,C9,21,"6,9687","24,0575","8,397"
CTRL,C9,22,"1,8778","21,8936","1,6961"
CTRL,C10,1,"22,1269","10,3619","3,5065"
CTRL,C10,2,"14,1946","19,379","3,8651"
CTRL,C10,3,"29,9048","17,9076","7,784"
CTRL,C10,4,"39,5717","20,3009","1,3537"
CTRL,C10,5,"15,6209","14,3408","6,2178"
CTRL,C10,6,"48,26","21,1498","4,3756"
CTRL,C10,7,"2,7881","23,8715","4,9732"
