Treatment,Dose,Time_On_Top,Time_On_Bottom,AbsoluteTurnAngle,Speed,Freezing
CTRL,0,49.479,209.15,9.06700123443899,8.51071404415941,8
CTRL,0,2.118,353.609,16.8920446759332,3.03435310892658,4
CTRL,0,0.31,259.497,15.1175306546563,1.12938196458895,8
CTRL,0,0.134,259.866,7.60870368908093,6.94597423212883,7
CTRL,0,117.879,220.64,23.5326194884641,5.51910373967992,16
CTRL,0,0.199,256.62,21.5158025963186,6.01775717711573,6
CTRL,0,75.017,284.983,21.3095891719755,9.54762113446277,26
CTRL,0,145.976,205.886,19.5592383044066,8.0662323589015,17
CTRL,0,172.82,149.695,21.7519433610673,2.90972356246091,3
CTRL,0,49.479,209.15,21.7207469936083,3.37693998580374,0
CTRL,0,62.01,110.637,21.8905773544058,8.96544012547486,30
CTRL,0,147.612,267.014,18.2857705988877,1.74891080762131,5
CTRL,0,95.623,248.232,25.7935427777524,5.07461216904621,9
CTRL,0,12.039,287.73,10.3053668388562,6.28990512753995,22
CTRL,0,12.355,317.532,9.29370290145334,7.8333729566094,23
CTRL,2.5,260.182,22.366,26.8424092177227,9.11452943269154,19
CTRL,2.5,142.02,74.246,24.4576298547443,7.15694254831415,30
CTRL,2.5,241.8,142.429,9.69629521822054,7.5609800574644,0
CTRL,2.5,230.248,52.141,25.9997673480097,8.76636649148115,13
CTRL,2.5,166.364,47.255,26.7454632982697,4.23016856665908,18
CTRL,2.5,124.198,36.506,17.3676720931124,9.76817847581235,18
CTRL,2.5,247.982,59.044,17.2155199256905,6.36600874872329,22
CTRL,2.5,231.519,72.094,25.7768054141556,3.84937444784748,13
CTRL,2.5,181.341,120.828,15.5548758562714,1.06198588170497,6
CTRL,2.5,233.7,22.455,13.5181053537896,8.37936110511005,24
CTRL,2.5,207.061,83.432,20.7518169138032,7.54467006363691,5
CTRL,2.5,216.077,60.395,12.8259923791741,3.99629373676147,15
CTRL,2.5,204.05421,21.96,11.7126789186418,2.13034711076304,30
CTRL,2.5,201.39479,86.71,23.9161407045213,1.84410571940349,3
CTRL,2.5,262.814,87.164,7.15056752672305,6.81813463770091,19
CTRL,25,126.624,6.753,22.6778429270692,2.77318207481666,4
CTRL,25,28.525,83.566,11.0783405257308,3.97655185719157,20
CTRL,25,0.344,118.059,27.126694737771,1.454935512273,15
CTRL,25,44.93,120.991,22.9916806582004,6.11683804570422,20
CTRL,25,13.017,120.372,24.0695207175899,7.44303776183991,28
CTRL,25,0.257,273.363,24.253835390176,6.18329670860483,22
CTRL,25,236.409,22.051,26.9401318205534,7.39831939615203,27
CTRL,25,3.991,260.185,15.0694238940928,1.96994916937384,9
CTRL,25,141.891,0,24.6506191345221,1.01023379115549,21
CTRL,25,0.735,359.06,20.2625432758562,4.16486949548006,6
CTRL,25,114.317,180,18.1492787408833,7.88752501456746,11
CTRL,25,76.882,87.172,22.1338549982085,6.907661535101,1
CTRL,25,75.874,324.445,14.4804300070435,8.46742560017373,1
CTRL,25,41.123,99.37,7.11071683479128,3.17833009357844,2
CTRL,25,110.326,28.452,12.1419372776868,7.92184236804731,14
CAS,0,0.547,359.216,20.5227313624579,6.88955046452256,118
CAS,0,0.172,359.602,13.4941671074572,3.12454524420558,79
CAS,0,0.684,359.066,22.1513356944376,1.92296581378744,116
CAS,0,1.225,250.072,36.4215056540569,1.76866817167492,12
CAS,0,0.285,237.185,42.0892224950818,9.68265761556802,62
CAS,0,0.188,357.427,45.2802676425434,5.56588889048334,41
CAS,0,70.885,212.421,15.1773086767453,3.01750297828617,38
CAS,0,1.884,256.739,43.0170156349974,8.26090405924651,89
CAS,0,35.816,272.303,38.8914108156399,1.83395585453046,43
CAS,0,0.214,259.768,41.2047079145593,2.40526704882027,53
CAS,0,9.97,350.03,43.1579024513908,3.58168932474076,101
CAS,0,8.737,315.57,21.0401787424523,3.71357966983397,61
CAS,0,36.343,296.287,42.8408642010423,5.31235909267931,72
CAS,0,18.577,256.566,29.4282901342796,8.20821457369396,95
CAS,0,3.088,325.585,27.5930068441241,9.99364808954483,84
CAS,2.5,122.727,95.273,31.9334627655223,9.34609218103762,42
CAS,2.5,159.872,76.128,14.9991744812045,4.83030988627978,77
CAS,2.5,89.988,119.012,27.5458783912486,6.47768956494654,24
CAS,2.5,88.257,265.743,26.6247691242734,5.89290067439828,13
CAS,2.5,141.157,123.843,28.0737770688004,3.06642646575662,17
CAS,2.5,108.069,183.931,18.1155485706246,1.75340294804461,78
CAS,2.5,63.569,117.431,26.133892039588,1.49184673910347,21
CAS,2.5,93.343,110.657,27.9064364560914,1.46278035959108,69
CAS,2.5,93.873,141.127,24.9194772957873,6.13774404441774,70
CAS,2.5,96.094,118.906,16.924317344748,2.87794952236643,7
CAS,2.5,59.189,159.811,23.7715570619573,1.13606310784536,70
CAS,2.5,112.114,182.886,19.8507148175693,4.02751630742234,21
CAS,2.5,107.662,212.338,27.4027468580377,8.14669981620835,24
CAS,2.5,110.168,163.832,22.5936602866111,2.04483665972878,70
CAS,2.5,81.352,278.648,21.6677141409644,1.32105140236375,43
CAS,25,3.9225,331.0775,8.76155690038793,3.94103891943428,42
CAS,25,78.599,256.401,24.2482871518433,4.66911110979826,30
CAS,25,244.815,41.185,12.9696028751416,6.82992467730656,27
CAS,25,153.581,134.419,23.3783172514384,8.6599512586149,17
CAS,25,129.379,199.621,18.8822901199175,6.47587167330579,6
CAS,25,0,325.081,23.9706861691619,2.81186375952707,27
CAS,25,181.63,110.37,20.9286324165984,3.92118389552336,43
CAS,25,197.822,144.178,21.6026634194247,8.22165982343067,42
CAS,25,70.109,237.891,12.4717455589549,9.31473805077076,24
CAS,25,137.375,177.625,14.880728091172,2.65048938093956,7
CAS,25,77.898,258.102,25.5928402352179,6.91074064053053,35
CAS,25,166.782,154.218,21.3512330392672,9.54265644927739,32
CAS,25,157.972,174.028,15.2341868169755,8.85491202831395,49
