Subj,Treatment,Dose,Time_On_Top,Time_On_Bottom,AbsoluteTurnAngle,Speed,Freezing
1,CTRL,0,19.4517,199.383,23.1782966628554,2.1487271336028,17
2,CTRL,0,21.3365,152.623,24.462557730221,2.22184033078743,17
3,CTRL,0,15.8211,344.18,8.80650910196753,1.09711289998765,30
4,CTRL,0,13.3420,57.943,15.3088143675535,8.93171150633939,22
5,CTRL,0,19.5431,155.483,30.4277253396631,1.05760342517535,21
6,CTRL,0,15.0008,256.128,26.191719417414,5.52111103418866,25
7,CTRL,0,16.7849,251.859,11.8920488870274,8.0524398224651,21
8,CTRL,0,19.7615,220.141,30.0848676547266,9.48974662424738,18
9,CTRL,0,23.1622,304.852,30.4672577239235,3.5324312688295,8
10,CTRL,0,29.4486,258.323,28.8158178163427,2.22361111312393,30
11,CTRL,0,19.0679,174.529,22.6284301483814,6.34500451062792,19
12,CTRL,0,19.5178,194.679,14.9683660098695,4.5355935822538,20
13,CTRL,0,17.04992,271.2219,14.9091858277525,10.0217618285088,8
14,CTRL,0,22.2358,236.174,12.9524734535214,8.1521169218586,16
15,CTRL,0,22.37417,228.867,20.8856753513847,4.53334311806776,9
1,CTRL,1,19.4111,250.956,12.6587060210869,6.57119899800289,2
2,CTRL,1,27.1199,207.971,14.0540631212121,2.57227955100112,14
3,CTRL,1,31.4792,273.423,17.8066495653683,4.01782772062216,0
4,CTRL,1,19.8371,273.389,14.393462939028,1.89743819800597,3
5,CTRL,1,29.9749,132.747,13.8826909662309,3.1185258549234,17
6,CTRL,1,17.5087,258.763,20.6978830252008,2.99391909047492,10
7,CTRL,1,11.1652,257.739,19.8761424742776,6.58666234601341,20
8,CTRL,1,12.1931,252.914,12.0180387944883,8.28248576555042,18
9,CTRL,1,30.629,235.268,28.2228721878078,2.75782693723756,10
10,CTRL,1,11.0841,278.326,11.7957061110609,8.31371692572809,24
11,CTRL,1,28.7467,321.2533,13.609189096995,2.02534040405238,5
12,CTRL,1,17.8741,152.623,22.8808654036648,9.05268797655025,30
13,CTRL,1,31.294,240.109,28.9246940630333,9.28353392864,28
14,CTRL,1,31.243,216.5319,14.0555322407649,2.61630700953347,19
15,CTRL,1,5.08,202.568,16.3077428626962,3.45830777173366,24
1,CAS,0,3.138,356.862,29.8265811351052,6.23399493984508,71
2,CAS,0,1.2,355.694,29.7512401870281,2.28888097584665,26
3,CAS,0,3.58,349.959,35.0353910931608,3.17644885815175,0
4,CAS,0,0.956,339.485,13.6702045562851,7.7426563009614,6
5,CAS,0,1.05,218.95,34.6359949555903,3.68340044949279,50
6,CAS,0,1.05,358.95,41.7834362511845,10.8475852054808,74
7,CAS,0,1.114,319.187,40.1484565268578,1.36037783797896,20
8,CAS,0,1.575,334.906,17.5924350585545,10.0033057553898,0
9,CAS,0,1.6,232.79,42.9788734973434,9.52653301218267,60
10,CAS,0,2.072,229.908,41.4392242707569,4.61246046979843,50
11,CAS,0,0.627,358.823,45.5428070378575,9.08875681045047,5
12,CAS,0,0.927,305.581,20.489606847156,5.89949685088777,65
13,CAS,0,2.3348,247.581,19.4226979895568,3.80464473956624,44
14,CAS,0,1.6402,268.0258,14.5814072775564,6.15920058999649,97
15,CAS,0,0.2556,259.7456,33.3092609823508,10.7443020764798,50
1,CAS,1,10.224,199.118,40.1930136922716,8.05288319612087,73
2,CAS,1,3.671,244.985,19.7122972316713,7.10842554490193,87
3,CAS,1,1.098,218.902,24.9899499008095,2.93689084259424,68
4,CAS,1,1.279,118.093,37.9690016732585,8.68002220838641,67
5,CAS,1,1.082,358.918,22.380625831124,10.4830337875533,22
6,CAS,1,1.04,258.96,40.3879811777923,6.88240472307352,29
7,CAS,1,0.945,291.833,43.4329600975556,4.8878715884281,34
8,CAS,1,0.782,296.758,34.566637849915,7.73354566600022,95
9,CAS,1,0.641,224.633,22.9784297526745,9.09905861901071,92
10,CAS,1,7.95,314.148,37.9820552328571,9.56524233275049,14
11,CAS,1,0.804,325.577,30.7263176445817,7.35175248919903,46
12,CAS,1,0.1401,359.8599,44.2081967352491,9.13811564228321,66
13,CAS,1,3.1684,356.8316,30.4892623464558,3.54415037495104,63
14,CAS,1,3.5817,356.4183,40.2667786366033,10.0824142153085,90
15,CAS,1,0.6916,359.3084,32.4599333761179,4.52486270743312,0
