Subj,Treatment,Dose,TT,TB,NE,Thrashing,Freeze.N,Freeze.Dur,Quad
1,A,1,1.444,60,2,0,1,326.04,15
2,A,1,1.322,297.308,3,0,2,297.308,27
3,A,1,1.441,291.819,1,0,2,321.819,11
4,A,1,1.21,358.79,0,0,1,336.712,3
5,A,1,1.384,358.616,0,0,4,191.462,31
6,A,1,7.635,353.379,1,0,0,0,213
7,A,1,1.421,355.428,0,1,0,0,137
8,A,1,126.952,133.094,5,5,0,0,491
9,A,1,192.246,103.434,0,1,0,0,207
10,A,1,7.564,345.03,0,1,0,0,149
11,A,1,1.758,262.049,1,2,0,0,195
1,A,2,1.762,120,0,0,4,278.208,57
2,A,2,0.941,358.947,0,0,1,348.685,2
3,A,2,1.151,359,1,0,1,326.449,6
4,A,2,0.915,227.625,2,0,5,128.272,36
5,A,2,10.22,356.733,5,7,0,0,127
6,A,2,1.647,359,1,0,2,279.935,8
7,A,2,0,358.076,0,0,1,324.927,4
8,A,2,0,358.867,0,2,0,0,127
9,A,2,131.709,117.236,0,11,0,0,320
10,A,2,72.121,146.543,0,0,0,0,290
11,A,2,48.491,251.5,2,11,1,0.08,288
12,A,2,72.923,110.41,2,6,0,0,213
1,B,1,2.508,357.492,0,0,1,325.436,3
2,B,1,1.625,358.375,1,1,1,327.675,6
3,B,1,1.681,358.319,0,1,2,270.516,8
4,B,1,1.892,358.108,0,1,2,225.99,6
5,B,1,8.08,351.92,0,0,2,225.443,36
6,B,1,1.183,339.638,2,18,1,164.32,74
7,B,1,4.644,337.297,0,0,0,0,262
8,B,1,1.468,352.038,2,3,1,293.705,14
9,B,1,0.878,271.598,0,0,0,0,341
10,B,1,42.237,203.019,0,1,0,0,311
11,B,1,2.324,338.137,0,0,0,0,177
12,B,1,104.558,198.995,0,7,0,0,326
1,B,2,2.422,357.578,1,2,1,332.994,9
2,B,2,1.78,358.22,1,0,1,328.359,16
3,B,2,1.419,298.581,1,0,1,172.771,37
4,B,2,2.203,357.797,1,0,1,337.195,4
5,B,2,2.131,355.199,1,0,0,0,160
6,B,2,1.973,358.027,2,1,2,253.703,13
7,B,2,14.844,308.652,0,1,0,0,220
8,B,2,103.521,142.073,1,3,0,0,411
9,B,2,194.393,75.706,0,1,0,0,313
10,B,2,94.854,156.244,1,0,0,0,277
11,B,2,2.287,354.75,0,0,0,0,176
