Subj,Treatment,Dose,TT,TB,NE,Thrashing,Freeze.N,Freeze.Dur,Quad
1,A,1,3.258,299.383,3,0,7,238.874,313
2,A,1,0.981,352.226,3,11,0,0,165
3,A,1,2.053,358,2,0,2,290.072,25
4,A,1,1.276,57.943,2,3,1,303.99,239
5,A,1,4.517,355.483,0,0,1,310.785,103
6,A,1,1.167,356.128,0,0,0,0,231
7,A,1,7.604,351.859,0,2,0,0,158
8,A,1,1.728,220.141,8,20,0,0,340
9,A,1,1.037,344.852,0,2,0,0,223
10,A,1,1.04,358.323,0,1,1,40.189,106
11,A,1,0.993,174.529,0,0,0,0,194
1,A,2,1.651,250.956,3,2,22,71.687,128
2,A,2,1.453,307.971,2,11,15,126.076,167
3,A,2,3.455,273.423,1,0,12,98.744,243
4,A,2,4.829,273.389,6,9,1,38.535,168
5,A,2,28.114,132.747,3,6,0,0,108
6,A,2,1.237,358.763,3,5,1,307.657,126
7,A,2,1.627,357.739,0,1,1,315.9,82
8,A,2,0.925,352.914,1,8,0,0,119
9,A,2,0.722,335.268,0,2,0,0,240
10,A,2,1.187,278.326,0,0,0,0,232
11,A,2,1.659,357.913,3,0,1,228.75,71
12,A,2,1.011,152.623,4,7,0,0,220
1,B,1,3.138,56.862,0,0,3,277.777,3
2,B,1,1.2,55.694,5,3,10,318748,17
3,B,1,3.58,349.959,8,37,0,0,111
4,B,1,0.956,339.485,12,35,0,0,235
5,B,1,1.05,118.95,8,0,3,281921,31
6,B,1,1.05,358.95,7,3,0,0,137
7,B,1,1.114,319.187,4,2,0,0,271
8,B,1,1.575,334.906,3,4,2,82.206,167
9,B,1,1.6,232.79,3,14,0,0,220
10,B,1,2.072,229.908,9,4,0,0,74
11,B,1,0.627,358.823,6,0,1,245.484,51
12,B,1,0.927,305.581,13,10,0,0,50
1,B,2,10.224,199.118,17,26,0,0,21
2,B,2,3.671,44.985,5,22,4,287.205,35
3,B,2,1.098,118.902,4,3,2,279.883,25
4,B,2,1.279,118.093,6,5,1,310.211,31
5,B,2,1.082,358.918,4,1,0,0,103
6,B,2,1.04,58.96,0,0,1,329.194,4
7,B,2,0.945,291.833,0,0,0,0,217
8,B,2,0.782,296.758,0,27,0,0,17
9,B,2,0.641,24.633,0,1,0,0,249
10,B,2,7.95,314.148,0,9,0,0,230
11,B,2,0.804,325.577,1,2,0,0,273
