Subject,Drug,Treatment,TrialType,Rproj,Angle,EyeUse
HC1,5HTP,CTRL,OFF,0.03,108.82325824031,0
HC1,5HTP,CTRL,ON,-0.07,191.954661354182,R
HC2,5HTP,CTRL,OFF,-0.18,328.279989851629,0
HC2,5HTP,CTRL,ON,0.03,107.132115538121,0
HC3,5HTP,CTRL,OFF,0.15,67.8524922369893,0
HC3,5HTP,CTRL,ON,-0.22,228.836339683567,0
HC4,5HTP,CTRL,OFF,-0.23,293.979568450317,0
HC4,5HTP,CTRL,ON,-0.02,312.026982249832,0
HC5,5HTP,CTRL,OFF,-0.21,4.87692754681166,0
HC5,5HTP,CTRL,ON,-0.13,67.316976032209,0
HC6,5HTP,CTRL,OFF,0,235.389613139454,0
HC6,5HTP,CTRL,ON,0.08,320.300789565649,0
HC7,5HTP,CTRL,OFF,0.16,355.525966498545,0
HC7,5HTP,CTRL,ON,0.05,152.116057660582,L
HC8,5HTP,CTRL,OFF,0.06,348.77374855327,0
HC8,5HTP,CTRL,ON,0.01,43.5057179444904,0
HC9,5HTP,CTRL,OFF,-0.12,318.047990692969,0
HC9,5HTP,CTRL,ON,-0.16,250.019154891025,0
HC10,5HTP,CTRL,OFF,0,311.934991589725,0
HC10,5HTP,CTRL,ON,0,282.111080171726,0
HC11,5HTP,CTRL,OFF,-0.22,163.726359321124,L
HC11,5HTP,CTRL,ON,0.19,294.724891434969,0
HC12,5HTP,CTRL,OFF,-0.19,233.665881468209,0
HC12,5HTP,CTRL,ON,-0.07,264.274331331389,0
HS1,5HTP,CAS,OFF,0,342.643929786431,0
HS1,5HTP,CAS,ON,-0.23,158.780861632686,L
HS2,5HTP,CAS,OFF,-0.23,273.080802770123,0
HS2,5HTP,CAS,ON,-0.33,182.605902442495,R
HS3,5HTP,CAS,OFF,0.07,266.119384884556,0
HS3,5HTP,CAS,ON,-0.26,200.020410339438,R
HS4,5HTP,CAS,OFF,0.22,118.464243583979,0
HS4,5HTP,CAS,ON,-0.11,142.013742667341,0
HS5,5HTP,CAS,OFF,-0.02,352.493524179556,0
HS5,5HTP,CAS,ON,0.01,145.698929583223,0
HS6,5HTP,CAS,OFF,0.01,76.3973739107114,0
HS6,5HTP,CAS,ON,-0.13,152.718515911587,L
HS7,5HTP,CAS,OFF,-0.23,45.7310946804384,0
HS7,5HTP,CAS,ON,-0.14,178.783872624836,L
HS8,5HTP,CAS,OFF,0.2,306.870265513079,0
HS8,5HTP,CAS,ON,-0.31,193.308295548147,R
HS9,5HTP,CAS,OFF,0,86.0946980691924,0
HS9,5HTP,CAS,ON,-0.06,147.065241590391,0
HS10,5HTP,CAS,OFF,-0.03,198.818758118349,R
HS10,5HTP,CAS,ON,-0.29,167.819544867301,L
HS11,5HTP,CAS,OFF,0.06,218.57683137799,0
HS11,5HTP,CAS,ON,-0.21,166.875703913266,L
HS12,5HTP,CAS,OFF,0.1,68.6870573757276,0
HS12,5HTP,CAS,ON,0.03,162.50436399226,L
CC1,VEH,CTRL,OFF,-0.01,346.779012214931,0
CC1,VEH,CTRL,ON,0.27,175.172923882738,L
CC2,VEH,CTRL,OFF,0.24,211.098677360138,0
CC2,VEH,CTRL,ON,0.51,201.386970314164,R
CC3,VEH,CTRL,OFF,-0.11,81.7924482765702,0
CC3,VEH,CTRL,ON,0.33,173.88154983964,L
CC4,VEH,CTRL,OFF,-0.23,221.777193668627,0
CC4,VEH,CTRL,ON,0.59,198.757037008406,R
CC5,VEH,CTRL,OFF,0.16,131.580378135532,0
CC5,VEH,CTRL,ON,0.43,193.326411948895,R
CC6,VEH,CTRL,OFF,0.18,324.868758455875,0
CC6,VEH,CTRL,ON,0.25,144.28111906036,0
CC7,VEH,CTRL,OFF,0.29,298.535724462629,0
CC7,VEH,CTRL,ON,0.64,208.400392814893,R
CC8,VEH,CTRL,OFF,0.12,178.360855465286,L
CC8,VEH,CTRL,ON,0.31,160.13382647633,L
CC9,VEH,CTRL,OFF,-0.24,291.794473408138,0
CC9,VEH,CTRL,ON,0.64,186.360544930533,R
CC10,VEH,CTRL,OFF,-0.28,90.6533073073732,0
CC10,VEH,CTRL,ON,0.5,186.090306317292,R
CC11,VEH,CTRL,OFF,-0.05,67.5749258893934,0
CC11,VEH,CTRL,ON,0.61,206.840656449564,R
CC12,VEH,CTRL,OFF,0.34,122.441494424633,0
CC12,VEH,CTRL,ON,0.39,170.83174922879,L
CS1,VEH,CAS,OFF,0.23,342.038110983446,0
CS1,VEH,CAS,ON,-0.3,301.278678738327,0
CS2,VEH,CAS,OFF,0.42,347.793774844225,0
CS2,VEH,CAS,ON,-0.31,279.630727865299,0
CS3,VEH,CAS,OFF,0.39,344.378495718004,0
CS3,VEH,CAS,ON,0.64,273.930275307505,0
CS4,VEH,CAS,OFF,-0.1,236.867522516953,0
CS4,VEH,CAS,ON,0.76,301.457056683843,0
CS5,VEH,CAS,OFF,-0.47,93.6163965944274,0
CS5,VEH,CAS,ON,0.04,321.31310172451,0
CS6,VEH,CAS,OFF,0.25,262.148999559831,0
CS6,VEH,CAS,ON,0.6,350.345132889528,0
CS7,VEH,CAS,OFF,0.24,224.004504919511,0
CS7,VEH,CAS,ON,-0.27,284.821915611852,0
CS8,VEH,CAS,OFF,-0.39,287.679758909732,0
CS8,VEH,CAS,ON,0.12,189.510842742607,R
CS9,VEH,CAS,OFF,-0.34,116.40486045944,0
CS9,VEH,CAS,ON,0.58,243.861587992436,0
CS10,VEH,CAS,OFF,0.35,66.6874971457288,0
CS10,VEH,CAS,ON,-0.42,185.780561338449,R
CS11,VEH,CAS,OFF,0.01,142.96661597831,0
CS11,VEH,CAS,ON,0.42,187.41325217755,R
CS12,VEH,CAS,OFF,-0.25,291.984666743234,0
CS12,VEH,CAS,ON,0.52,270.135550550209,0
