Subject,Drug,Treatment,Trial,Type,TimeNearStimulus,AbsoluteTurnAngle,Speed
PC1,5HTP,CTRL,1,OFF,11,23.4309348135593,3.18135046666667
PC1,5HTP,CTRL,2,OFF,19,20.1175926101695,3.05377718333333
PC1,5HTP,CTRL,3,OFF,17,19.1925932586207,3.26128915
PC1,5HTP,CTRL,4,ON,,20.2751133214286,3.03032695
PC1,5HTP,CTRL,5,OFF,28,24.3678139152542,3.13943681666667
PC1,5HTP,CTRL,6,ON,30,21.4873050833333,2.94534246666667
PC1,5HTP,CTRL,7,OFF,11,20.5047741206897,3.09455963333333
PC1,5HTP,CTRL,8,ON,45,20.5401633965517,2.86738736206897
PC1,5HTP,CTRL,9,OFF,10,17.9702033559322,2.78981938333333
PC1,5HTP,CTRL,10,ON,35,18.3625246779661,3.34415274576271
PC1,5HTP,CTRL,11,OFF,48,23.6259644464286,2.99157386666667
PC1,5HTP,CTRL,12,ON,46,23.2521623571429,3.20309542372881
PC1,5HTP,CTRL,13,OFF,18,23.3738995087719,3.00215576666667
PC1,5HTP,CTRL,14,ON,49,18.9107382982456,3.21258793220339
PC1,5HTP,CTRL,15,OFF,23,23.4743470517241,3.20191979661017
PC1,5HTP,CTRL,16,ON,14,21.8268049310345,2.76511898305085
PC1,5HTP,CTRL,17,OFF,28,23.5932043859649,3.26261893220339
PC1,5HTP,CTRL,18,ON,26,21.4796073333333,3.63490648333333
PC1,5HTP,CTRL,19,OFF,19,23.2734881355932,3.17087238333333
PC1,5HTP,CTRL,20,ON,12,27.0948326538462,3.26964481481481
PC2,5HTP,CTRL,1,OFF,13,24.1730831186441,3.1241766440678
PC2,5HTP,CTRL,2,OFF,26,17.2396998596491,3.21788523728814
PC2,5HTP,CTRL,3,OFF,11,20.4146043793103,3.15835496666667
PC2,5HTP,CTRL,4,ON,57,19.2916095084746,3.02518025
PC2,5HTP,CTRL,5,OFF,33,17.5490846779661,2.98909296666667
PC2,5HTP,CTRL,6,ON,46,24.1943895,2.97598066666667
PC2,5HTP,CTRL,7,OFF,19,23.0262441607143,3.12237265517241
