"Sujeito","Droga","Tratamento","Tipo","Rproj","Angulo"
"PC1","pCPA","CTRL","OFF",0.428140236358723,328.127308658979
"PC1","pCPA","CTRL","ON",0.749560306237764,184.638097417444
"PC2","pCPA","CTRL","OFF",0.156547617488688,303.975461576208
"PC2","pCPA","CTRL","ON",0.364535503804056,199.577561937799
"PC3","pCPA","CTRL","OFF",0.0962660758982391,229.113788091902
"PC3","pCPA","CTRL","ON",0.623307780879733,157.330042235236
"PC4","pCPA","CTRL","OFF",-0.373547670260774,37.8007207009475
"PC4","pCPA","CTRL","ON",0.258371483194557,194.221520386159
"PC5","pCPA","CTRL","OFF",0.498011687398771,234.719922774267
"PC5","pCPA","CTRL","ON",0.187684322129665,192.043448597377
"PC6","pCPA","CTRL","OFF",0.379364432383449,318.291140661038
"PC6","pCPA","CTRL","ON",0.119844227727366,170.490422434923
"PC7","pCPA","CTRL","OFF",-0.139360749621533,65.4492950993561
"PC7","pCPA","CTRL","ON",0.378574887445157,186.588941822888
"PC8","pCPA","CTRL","OFF",-0.271472157320568,111.378757051669
"PC8","pCPA","CTRL","ON",0.547810840797235,165.114342827776
"PC9","pCPA","CTRL","OFF",-0.059861797264271,6.99626701192778
"PC9","pCPA","CTRL","ON",0.292260520001606,187.735803347609
"PC10","pCPA","CTRL","OFF",-0.233015326593321,290.615265567495
"PC10","pCPA","CTRL","ON",0.130189088340131,155.803290541023
"PC11","pCPA","CTRL","OFF",0.162790797452874,174.401565019809
"PC11","pCPA","CTRL","ON",0.993767306875709,192.085313867153
"PC12","pCPA","CTRL","OFF",-0.344215180686505,249.966572987946
"PC12","pCPA","CTRL","ON",0.298159476880782,195.859999085378
"PS1","pCPA","SA","OFF",0.113590069067301,177.522054660801
"PS1","pCPA","SA","ON",0.14292960359099,221.554663678876
"PS2","pCPA","SA","OFF",-0.0815278189912401,4.3797277883137
"PS2","pCPA","SA","ON",0.03382429365684,207.556262998636
"PS3","pCPA","SA","OFF",-0.096871385664017,324.625217421112
"PS3","pCPA","SA","ON",0.612896036863159,187.08172114407
"PS4","pCPA","SA","OFF",-0.209924914490884,304.33385416956
"PS4","pCPA","SA","ON",0.586669314814038,206.716548997202
"PS5","pCPA","SA","OFF",0.348058357408929,73.7064402243741
"PS5","pCPA","SA","ON",0.674003929600445,162.532316878315
"PS6","pCPA","SA","OFF",-0.0424101732510337,39.6703891121971
"PS6","pCPA","SA","ON",0.19047360114181,222.494376852378
"PS7","pCPA","SA","OFF",0.258203399601842,2.01899529051348
