Subject,Drug,Treatment,Trial,Type,TimeNearStimulus,AbsoluteTurnAngle,Speed,Freezing
PC1,pCPA,CTRL,1,0,17.745567,24.6571756590909,7.60315768085106,1
PC1,pCPA,CTRL,2,0,0.716667,31.2153103,5.58140841666667,0
PC1,pCPA,CTRL,3,0,5.233333,30.3415311176471,5.51701277192983,0
PC1,pCPA,CTRL,4,1,5.725123,,5.61994493220339,1
PC1,pCPA,CTRL,5,0,0,11.6420379,4.47085883333333,0
PC1,pCPA,CTRL,6,1,1.754762,22.820753375,4.48951797560976,0
PC1,pCPA,CTRL,7,0,4.339916,23.0730234571429,4.61622430555556,2
PC1,pCPA,CTRL,8,1,23.899998,19.5345422807018,4.99560731578947,0
PC1,pCPA,CTRL,9,0,0,23.7830620227273,3.99350522916667,3
PC1,pCPA,CTRL,10,1,33.446652,23.2703342413793,4.1896681875,1
PC1,pCPA,CTRL,11,0,0.4,9.91082163636364,3.58698761538462,2
PC1,pCPA,CTRL,12,1,1,24.264125,3.59169777777778,0
PC1,pCPA,CTRL,13,0,4.65,23.8023768285714,5.40000711538462,0
PC1,pCPA,CTRL,14,1,9.077952,22.1567606571429,4.00119732258065,0
PC1,pCPA,CTRL,15,0,5.083334,,4.24590356922043,1
PC1,pCPA,CTRL,16,1,1.733333,23.5251037857143,4.1701734,1
PC1,pCPA,CTRL,17,0,3.037037,22.9548105833333,4.18155684705882,2
PC1,pCPA,CTRL,18,1,0,19.8904525,2.66839276190476,1
PC1,pCPA,CTRL,19,0,1.666667,31.2959810909091,2.2092495,1
PC1,pCPA,CTRL,20,1,6.850981,26.4461820465116,4.34441998930481,3
PC2,pCPA,CTRL,1,0,12.444642,27.4610467906977,9.26150981818182,0
PC2,pCPA,CTRL,2,0,18.076567,20.9584944915254,8.35084943333333,0
PC2,pCPA,CTRL,3,0,12.040231,24.6725977666667,8.24948546666667,0
PC2,pCPA,CTRL,4,1,15.390733,24.5354727966102,7.22474173333333,0
PC2,pCPA,CTRL,5,0,14.307304,23.9099523559322,7.06792343333333,0
PC2,pCPA,CTRL,6,1,14.989657,26.0277174666667,6.64618678333333,0
